,tokens,date,Author,years,pos share,neu share,neg share,index
0,"['let', 'report', 'outcom', 'also', 'attend', 'keep', 'increas', 'inform', 'assess', 'adjust', 'veri', 'warrant', 'guid', 'principl', 'consist', 'appli', 'examin', 'judgement', 'take', 'decis', 'whole', 'continu', 'respect', 'risk', 'explain', 'analysi', 'accord', 'accord', 'rate', 'gdp', 'data', 'stronger', 'contribut', 'view', 'maintain', 'momentum', 'first', 'month', 'notwithstand', 'impact', 'high', 'continu', 'earn', 'gain', 'corpor', 'effici', 'rise', 'develop', 'downsid', 'relat', 'high', 'volatil', 'latter', 'improv', 'turn', 'novemb', 'octob', 'thi', 'declin', 'wa', 'result', 'relax', 'earlier', 'tension', 'oil', 'petrol', 'market', 'nevertheless', 'recent', 'gradual', 'materialis', 'alreadi', 'announc', 'chang', 'upward', 'impact', 'meanwhil', 'wage', 'increas', 'decemb', 'thi', 'scenario', 'remain', 'upsid', 'includ', 'tax', 'well', 'fundament', 'potenti', 'behaviour', 'meet', 'respons', 'also', 'context', 'somewhat', 'novemb', 'owe', 'mortgag', 'borrow', 'rapid', 'rate', 'growth', 'dynam', 'risk', 'upward', 'impact', 'chang', 'indic', 'risk', 'crosscheck', 'risk', 'affect', 'consist', 'effect', 'contribut', 'continu', 'respect', 'risk', 'mediumterm', 'assess', 'programm', 'implement', 'provid', 'opportun', 'forc', 'underpin', 'commit', 'implement', 'stabil', 'thi', 'effect', 'like', 'consider', 'emphasi', 'given', 'welldefin', 'credibl', 'expenditur', 'commit', 'incorpor', 'growthfriendli', 'lisbon', 'nation', 'respons', 'challeng', 'globalis', 'fact', 'process', 'intern', 'econom', 'financi', 'integr', 'characteris', 'capit', 'flow', 'ha', 'one', 'drive', 'europ', 'prosper', 'past', 'decad', 'ongo', 'transform', 'technolog', 'advanc', 'entranc', 'new', 'economi', 'world', 'market', 'offer', 'higher', 'translat', 'chanc', 'achiev', 'europ', 'would', 'greatli', 'benefit', 'necessari', 'changeov', 'contract', 'expand', 'activ', 'minimis', 'adjust', 'cost', 'would', 'also', 'profit', 'consider', 'stimul', 'abil', 'innov', 'invest', 'creat', 'new', 'firm', 'moreov', 'offer', 'taken', 'relaunch', 'lisbon', 'strategi', 'welcom', 'step', 'right', 'direct', 'dispos', 'question']",2006-01-12,Jean-Claude Trichet,2006,0.16993022068855507,0.7306423413638329,0.09942743794761205,0.07050278274094302
1,"['basi', 'leav', 'conclud', 'underpin', 'assess', 'outlook', 'ampl', 'vigil', 'ensur', 'also', 'warrant', 'given', 'real', 'whole', 'anchor', 'let', 'explain', 'assess', 'lend', 'support', 'scenario', 'assess', 'outlook', 'growth', 'confirm', 'improv', 'broaden', 'latest', 'indic', 'thi', 'process', 'ha', 'basic', 'continu', 'take', 'account', 'usual', 'degre', 'volatil', 'ahead', 'quarter', 'provid', 'expect', 'period', 'gain', 'earn', 'strengthen', 'situat', 'gradual', 'improv', 'confirm', 'domin', 'octob', 'somewhat', 'reflect', 'particular', 'renew', 'effect', 'gradual', 'materialis', 'alreadi', 'announc', 'chang', 'upward', 'impact', 'wage', 'remain', 'time', 'reflect', 'particular', 'global', 'embodi', 'inflat', 'risk', 'current', 'envisag', 'addit', 'tax', 'fundament', 'potenti', 'behaviour', 'meet', 'respons', 'also', 'context', 'robust', 'even', 'though', 'moder', 'decemb', 'thi', 'moder', 'explain', 'part', 'appar', 'resumpt', 'unwind', 'dampen', 'effect', 'headlin', 'growth', 'howev', 'growth', 'borrow', 'particularli', 'buoyant', 'impli', 'need', 'monitor', 'develop', 'overal', 'chang', 'upward', 'impact', 'year', 'also', 'indic', 'risk', 'outcom', 'ensur', 'risk', 'inde', 'essenti', 'risk', 'affect', 'medium', 'consist', 'prerequisit', 'point', 'somewhat', 'better', 'expect', 'outcom', 'number', 'countri', 'import', 'particular', 'support', 'european', 'stabil', 'consolid', 'would', 'inappropri', 'effort', 'base', 'credibl', 'fulli', 'specifi', 'measur', 'part', 'comprehens', 'consolid', 'programm', 'ani', 'windfal', 'gain', 'higher', 'alloc', 'speed', 'deficit', 'reduct', 'prevent', 'repeat', 'past', 'experi', 'complac', 'persist', 'budgetari', 'disequilibria', 'respect', 'activ', 'repres', 'import', 'input', 'sector', 'economi', 'account', 'larg', 'grow', 'share', 'output', 'employ', 'case', 'around', 'ensur', 'fulli', 'integr', 'european', 'polici', 'agenda', 'increas', 'competit', 'eu', 'intern', 'servic', 'market', 'would', 'allow', 'firm', 'benefit', 'economi', 'scale', 'expect', 'increas', 'econom', 'effici', 'higher', 'level', 'dynam', 'economi', 'creat', 'job', 'moreov', 'higher', 'level', 'competit', 'servic', 'market', 'dampen', 'impact', 'price', 'would', 'contribut', 'reduct', 'price', 'sticki', 'area', 'open', 'entrant', 'would', 'tend', 'foster', 'effici', 'flexibl', 'servic', 'market', 'facilit', 'adjust', 'process', 'run', 'dispos', 'question']",2006-02-02,Jean-Claude Trichet,2006,0.1726502204940786,0.7244964615818255,0.10285331792409612,0.06979690256998249
2,"['attend', 'presid', 'almunia', 'increas', 'point', 'basi', 'econom', 'ensur', 'medium', 'entir', 'current', 'assess', 'continu', 'respect', 'risk', 'explain', 'analysi', 'accord', 'quarter', 'lower', 'strong', 'record', 'look', 'suggest', 'accordingli', 'see', 'reflect', 'variou', 'indicatorbas', 'estim', 'expect', 'period', 'earn', 'strengthen', 'gradual', 'situat', 'gradual', 'improv', 'addit', 'input', 'analysi', 'prospect', 'constitut', 'slight', 'upward', 'revis', 'stronger', 'outlook', 'privat', 'invest', 'give', 'turn', 'januari', 'short', 'run', 'remain', 'abov', 'precis', 'level', 'depend', 'strongli', 'futur', 'rel', 'volatil', 'beyond', 'significantli', 'affect', 'inflat', 'upward', 'impact', 'also', 'expect', 'recent', 'past', 'work', 'assumpt', 'thi', 'continu', 'case', 'due', 'least', 'strong', 'global', 'contain', 'strong', 'meet', 'respons', 'context', 'assess', 'outlook', 'compar', 'impli', 'slight', 'upward', 'revis', 'profil', 'assumpt', 'futur', 'outlook', 'includ', 'passthrough', 'price', 'current', 'anticip', 'addit', 'tax', 'fundament', 'stronger', 'wage', 'due', 'robust', 'notwithstand', 'sign', 'resumpt', 'unwind', 'asset', 'exert', 'dampen', 'effect', 'headlin', 'growth', 'look', 'shortterm', 'effect', 'gener', 'portfolio', 'behaviour', 'household', 'especi', 'loan', 'mark', 'pace', 'overal', 'strength', 'warrant', 'act', 'time', 'fashion', 'develop', 'ensur', 'risk', 'plan', 'maintain', 'attain', 'balanc', 'surplu', 'horizon', 'remain', 'slow', 'number', 'countri', 'continu', 'report', 'sever', 'imbal', 'attain', 'minimum', 'requir', 'improv', 'popul', 'age', 'cast', 'shadow', 'longterm', 'fiscal', 'outlook', 'essenti', 'countri', 'pursu', 'determin', 'consolid', 'introduc', 'concret', 'effect', 'measur', 'need', 'succeed', 'embed', 'prepar', 'longterm', 'fiscal', 'challeng', 'thi', 'enhanc', 'credibl', 'revis', 'pact', 'creat', 'confid', 'sound', 'broader', 'implic', 'popul', 'age', 'also', 'requir', 'attent', 'field', 'vital', 'support', 'employ', 'rate', 'demograph', 'effect', 'materialis', 'complet', 'eu', 'servic', 'key', 'prioriti', 'labour', 'suppli', 'side', 'tax', 'essenti', 'provid', 'stronger', 'incent', 'peopl', 'stay', 'enter', 'demand', 'side', 'need', 'promot', 'wage', 'flexibl', 'address', 'moreov', 'better', 'educ', 'train', 'import', 'develop', 'meet', 'review', 'strategi', 'wa', 'relaunch', 'support', 'initi', 'taken', 'thi', 'reform', 'process', 'full', 'effect', 'realis', 'necessari', 'reform', 'key', 'longterm', 'econom', 'success', 'question']",2006-03-02,Jean-Claude Trichet,2006,0.15594167219197413,0.7515631130736192,0.09249521473440657,0.06344645745756756
3,"['basi', 'keep', 'increas', 'inform', 'assess', 'adjust', 'warrant', 'address', 'medium', 'area', 'kept', 'whole', 'credit', 'accommod', 'continu', 'ensur', 'risk', 'outlook', 'subdu', 'develop', 'late', 'basi', 'releas', 'variou', 'indicatorbas', 'estim', 'appear', 'growth', 'strengthen', 'broaden', 'growth', 'come', 'quarter', 'activ', 'activ', 'benefit', 'earn', 'strengthen', 'situat', 'confirm', 'risk', 'relat', 'potenti', 'februari', 'januari', 'short', 'run', 'remain', 'abov', 'precis', 'level', 'depend', 'larg', 'develop', 'volatil', 'compon', 'index', 'beyond', 'significantli', 'affect', 'inflat', 'upward', 'impact', 'may', 'also', 'expect', 'wage', 'global', 'past', 'dampen', 'ahead', 'crucial', 'meet', 'respons', 'context', 'outlook', 'includ', 'stronger', 'passthrough', 'price', 'current', 'anticip', 'addit', 'tax', 'fundament', 'stronger', 'wage', 'due', 'moreov', 'increas', 'household', 'especi', 'loan', 'rapidli', 'overal', 'strength', 'outcom', 'essenti', 'mediumterm', 'consist', 'ensur', 'risk', 'therebi', 'result', 'report', 'mostli', 'better', 'anticip', 'balanc', 'plan', 'impli', 'signific', 'progress', 'given', 'pace', 'deficit', 'reduct', 'necessari', 'delay', 'risk', 'past', 'speed', 'deficit', 'reduct', 'basi', 'credibl', 'fulli', 'specifi', 'measur', 'part', 'help', 'enhanc', 'confid', 'mediumterm', 'prospect', 'repeat', 'past', 'experi', 'complac', 'persist', 'budgetari', 'disequilibria', 'regard', 'brussel', 'march', 'maintain', 'momentum', 'relaunch', 'lisbon', 'strategi', 'growth', 'employ', 'emphasis', 'ensur', 'effect', 'time', 'comprehens', 'implement', 'measur', 'agre', 'nation', 'strengthen', 'measur', 'design', 'among', 'thing', 'enhanc', 'sustain', 'qualiti', 'energi', 'servic', 'appli', 'import', 'resili', 'shock', 'facilit', 'facilit', 'task', 'question']",2006-04-06,Jean-Claude Trichet,2006,0.16617566937785683,0.7317642683220055,0.10206006230013766,0.06411560707771917
4,"['basi', 'leav', 'inform', 'meet', 'price', 'area', 'monetari', 'ensur', 'risk', 'vigil', 'particularli', 'warrant', 'context', 'real', 'whole', 'overal', 'polici', 'employ', 'anchor', 'let', 'explain', 'assess', 'moder', 'observ', 'latest', 'indic', 'continu', 'growth', 'support', 'scenario', 'gradual', 'broaden', 'confid', 'particularli', 'buoyant', 'principl', 'bode', 'well', 'invest', 'recoveri', 'consumpt', 'employ', 'appear', 'proceed', 'albeit', 'still', 'gradual', 'come', 'quarter', 'activ', 'growth', 'benefit', 'strengthen', 'situat', 'continu', 'improv', 'thi', 'scenario', 'appear', 'high', 'volatil', 'potenti', 'thi', 'underlin', 'need', 'improv', 'transpar', 'thi', 'sector', 'concern', 'prevail', 'march', 'februari', 'monthtomonth', 'profil', 'larg', 'depend', 'develop', 'passthrough', 'price', 'along', 'product', 'chain', 'beyond', 'affect', 'inflat', 'significantli', 'upward', 'impact', 'may', 'also', 'expect', 'help', 'dampen', 'ahead', 'equal', 'crucial', 'meet', 'respons', 'view', 'foster', 'outlook', 'includ', 'passthrough', 'price', 'current', 'anticip', 'addit', 'tax', 'fundament', 'stronger', 'present', 'possibl', 'due', 'particular', 'increas', 'reach', 'doubledigit', 'level', 'becom', 'sector', 'borrow', 'household', 'especi', 'strongli', 'mainli', 'expans', 'impact', 'overal', 'acceler', 'monetari', 'point', 'light', 'strong', 'asset', 'price', 'dynam', 'especi', 'lie', 'increas', 'view', 'renew', 'strength', 'strong', 'money', 'outcom', 'medium', 'area', 'kept', 'vigil', 'essenc', 'order', 'ensur', 'risk', 'respect', 'implement', 'stabil', 'rule', 'improv', 'howev', 'case', 'rather', 'lenient', 'attain', 'still', 'subject', 'consider', 'risk', 'ani', 'reinforc', 'take', 'full', 'advantag', 'ambiti', 'would', 'bring', 'deficit', 'secur', 'would', 'also', 'prospect', 'import', 'undertak', 'open', 'competit', 'wellfunct', 'wage', 'attract', 'environ', 'invest', 'innov', 'need', 'reform', 'ha', 'highlight', 'enhanc', 'resili', 'shock', 'broad', 'firm', 'consensu', 'open', 'flexibl', 'benefici', 'promot', 'growth', 'employ', 'essenti', 'turn', 'agre', 'reform', 'plan', 'action', 'strengthen', 'necessari', 'push', 'forward', 'lend', 'support', 'question']",2006-05-04,Jean-Claude Trichet,2006,0.16791800418018335,0.7254647810431769,0.10661721477663966,0.06130078940354369
5,"['would', 'particularli', 'like', 'banco', 'de', 'españa', 'report', 'outcom', 'attend', 'presid', 'almunia', 'increas', 'point', 'econom', 'contribut', 'ensur', 'previou', 'occas', 'anchor', 'prerequisit', 'also', 'today', 'increas', 'low', 'accommod', 'given', 'outlook', 'money', 'develop', 'ensur', 'explain', 'analysi', 'main', 'indic', 'accord', 'eurostat', 'first', 'estim', 'quarteronquart', 'basi', 'area', 'month', 'ha', 'thu', 'materialis', 'confirm', 'view', 'becom', 'sustain', 'inform', 'activ', 'confid', 'survey', 'indicatorbas', 'estim', 'continu', 'encourag', 'place', 'growth', 'trend', 'impact', 'economi', 'trade', 'partner', 'invest', 'growth', 'expect', 'continu', 'benefit', 'earn', 'gradual', 'situat', 'gradual', 'improv', 'reflect', 'addit', 'input', 'analysi', 'prospect', 'project', 'lower', 'give', 'imbal', 'protection', 'turn', 'compar', 'april', 'march', 'although', 'stem', 'come', 'remain', 'abov', 'precis', 'level', 'depend', 'continu', 'also', 'inflat', 'meet', 'respons', 'input', 'assess', 'outlook', 'compar', 'impli', 'slight', 'upward', 'shift', 'profil', 'outlook', 'includ', 'passthrough', 'anticip', 'addit', 'tax', 'fundament', 'stronger', 'expect', 'discuss', 'underli', 'develop', 'money', 'credit', 'context', 'doubledigit', 'level', 'sector', 'borrow', 'household', 'especi', 'strongli', 'past', 'april', 'rapid', 'rate', 'mainli', 'expans', 'impact', 'signal', 'inflationari', 'risk', 'medium', 'monetari', 'light', 'strong', 'dynam', 'given', 'strength', 'monetari', 'adjust', 'warrant', 'act', 'time', 'fashion', 'accommod', 'close', 'develop', 'ensur', 'risk', 'publish', 'recent', 'commiss', 'point', 'level', 'onli', 'margin', 'forecast', 'level', 'still', 'abov', 'gdp', 'thi', 'disappoint', 'background', 'posit', 'risk', 'consolid', 'delay', 'countri', 'crucial', 'avoid', 'mistak', 'past', 'mani', 'countri', 'fail', 'consolid', 'suffici', 'requir', 'toward', 'sound', 'countri', 'concret', 'credibl', 'measur', 'implement', 'swiftli', 'part', 'mediumtermori', 'strategi', 'vital', 'consolid', 'confid', 'area', 'term', 'call', 'implement', 'firm', 'measur', 'ensur', 'open', 'competit', 'wellfunct', 'product', 'attract', 'environ', 'invest', 'innov', 'promot', 'flexibl', 'wage', 'price', 'broad', 'firm', 'consensu', 'reform', 'benefici', 'promot', 'growth', 'employ', 'enhanc', 'resili', 'shock', 'time', 'intraeuro', 'area', 'adjust', 'economi', 'high', 'persist', 'competit', 'exampl', 'rigid', 'low', 'lack', 'competit', 'sector', 'explicit', 'wage', 'price', 'comprehens', 'set', 'reform', 'essenti', 'strengthen', 'foundat', 'employ', 'across', 'function', 'adjust', 'mechan', 'facilit', 'conduct', 'question']",2006-06-08,Jean-Claude Trichet,2006,0.1553933285801152,0.7427708847123934,0.10183578670749152,0.05355754187262368
6,"['basi', 'leav', 'warrant', 'contain', 'act', 'risk', 'area', 'liquid', 'ampl', 'accommod', 'therefor', 'assumpt', 'progress', 'withdraw', 'warrant', 'risk', 'releas', 'improv', 'balanc', 'thi', 'confirm', 'assess', 'momentum', 'becom', 'volatil', 'quarterli', 'figur', 'expect', 'pick', 'benefit', 'earn', 'strengthen', 'gradual', 'improv', 'thi', 'broadli', 'reflect', 'risk', 'outlook', 'balanc', 'unwind', 'pressur', 'may', 'compar', 'april', 'dure', 'remain', 'abov', 'precis', 'level', 'depend', 'futur', 'assess', 'support', 'public', 'moder', 'evolut', 'continu', 'also', 'chang', 'exert', 'inflat', 'cours', 'context', 'crucial', 'meet', 'respons', 'risk', 'outlook', 'includ', 'passthrough', 'price', 'tax', 'fundament', 'stronger', 'expect', 'wage', 'inflat', 'medium', 'may', 'highest', 'start', 'continu', 'increas', 'doubledigit', 'rate', 'household', 'rapidli', 'activ', 'household', 'continu', 'explain', 'particular', 'borrow', 'stood', 'credit', 'environ', 'stabil', 'medium', 'strong', 'dynam', 'given', 'dynam', 'essenti', 'consist', 'risk', 'therebi', 'pace', 'consolid', 'disappoint', 'background', 'consolid', 'target', 'number', 'crucial', 'avoid', 'mistak', 'past', 'also', 'wish', 'express', 'broad', 'agreement', 'main', 'fiscal', 'challeng', 'gener', 'identifi', 'particular', 'need', 'rigor', 'implement', 'speed', 'outlook', 'need', 'underpin', 'medium', 'termori', 'appropri', 'nation', 'fiscal', 'institut', 'procedur', 'final', 'reliabl', 'compil', 'time', 'report', 'govern', 'financ', 'statist', 'challeng', 'prospect', 'europ', 'regard', 'job', 'opportun', 'strengthen', 'cope', 'challeng', 'globalis', 'among', 'demand', 'time', 'order', 'translat', 'opportun', 'brought', 'globalis', 'term', 'higher', 'greatli', 'benefit', 'also', 'gain', 'fledg', 'sector', 'foster', 'innov', 'invest', 'creation', 'new', 'firm', 'inde', 'implement', 'necessari', 'reform', 'decis', 'manner', 'would', 'help', 'reap', 'benefit', 'globalis', 'citizen', 'economi', 'dispos', 'question']",2006-07-06,Jean-Claude Trichet,2006,0.16399644224582527,0.7374693025703107,0.09853425518386404,0.06546218706196123
7,"['increas', 'point', 'econom', 'ensur', 'medium', 'previou', 'occas', 'anchor', 'prerequisit', 'today', 'increas', 'real', 'nomin', 'term', 'money', 'credit', 'assumpt', 'progress', 'withdraw', 'ensur', 'explain', 'analysi', 'main', 'indic', 'confirm', 'second', 'releas', 'verifi', 'becom', 'current', 'confid', 'survey', 'monthli', 'indic', 'support', 'view', 'sustain', 'pace', 'avail', 'line', 'place', 'growth', 'economi', 'trade', 'partner', 'provid', 'continu', 'benefit', 'earn', 'gradual', 'gener', 'reflect', 'forecast', 'risk', 'outlook', 'recent', 'market', 'time', 'remind', 'uncertainti', 'face', 'medium', 'longerterm', 'risk', 'lie', 'downsid', 'unwind', 'suspens', 'doha', 'round', 'trade', 'talk', 'turn', 'june', 'may', 'remain', 'abov', 'precis', 'level', 'depend', 'continu', 'also', 'chang', 'exert', 'inflat', 'cours', 'meet', 'respons', 'risk', 'outlook', 'includ', 'passthrough', 'price', 'current', 'anticip', 'addit', 'tax', 'fundament', 'stronger', 'expect', 'wage', 'improv', 'prospect', 'inflat', 'medium', 'moder', 'money', 'counterpart', 'expans', 'credit', 'driver', 'continu', 'increas', 'doubledigit', 'rate', 'household', 'rapidli', 'household', 'continu', 'explain', 'particular', 'borrow', 'credit', 'environ', 'stabil', 'medium', 'dynam', 'averag', 'risk', 'given', 'outcom', 'term', 'adjust', 'warrant', 'act', 'today', 'time', 'fashion', 'anchor', 'medium', 'consist', 'ahead', 'given', 'accommod', 'progress', 'withdraw', 'assumpt', 'ensur', 'risk', 'concern', 'outlook', 'import', 'procycl', 'polici', 'step', 'pace', 'target', 'current', 'year', 'particularli', 'ambiti', 'rigor', 'implement', 'plan', 'warrant', 'ani', 'addit', 'windfal', 'revenu', 'best', 'use', 'deficit', 'reduct', 'beyond', 'implement', 'prudent', 'polici', 'remaind', 'focu', 'underli', 'sourc', 'imbal', 'full', 'advantag', 'forward', 'durabl', 'correct', 'mediumterm', 'budgetari', 'object', 'earli', 'stage', 'therebi', 'prepar', 'demograph', 'challeng', 'must', 'cope', 'regard', 'europ', 'futur', 'ensur', 'ha', 'free', 'flow', 'labour', 'capit', 'free', 'trade', 'good', 'servic', 'remov', 'remain', 'barrier', 'within', 'eu', 'power', 'mean', 'promot', 'effici', 'alloc', 'factor', 'product', 'well', 'deeper', 'econom', 'financi', 'integr', 'eu', 'realis', 'substanti', 'potenti', 'stronger', 'output', 'exploit', 'opportun', 'safeguard', 'prosper', 'citizen', 'europ', 'converg', 'criteria', 'laid', 'treati', 'particip', 'benefit', 'singl', 'currenc', 'offer', 'credibl', 'framework', 'characteris', 'absenc', 'within', 'cost', 'transpar', 'reduc', 'transact', 'inform', 'cost', 'stronger', 'insur', 'econom', 'financi', 'instabl', 'entri', 'slovenia', 'new', 'histor', 'landmark', 'order', 'fulli', 'reap', 'advantag', 'euro', 'allow', 'adjust', 'mechan', 'oper', 'effici', 'within', 'enlarg', 'currenc', 'area', 'necessari', 'fulli', 'integr', 'slovenia', 'econom', 'remain', 'barrier', 'remov', 'includ', 'relat', 'open', 'conduct', 'necessari', 'prepar', 'make', 'banka', 'slovenij', 'integr', 'part', 'eurosystem', 'dispos', 'question']",2006-08-03,Jean-Claude Trichet,2006,0.16601416619533102,0.728113033040197,0.10587280076447197,0.060141365430859045
8,"['basi', 'leav', 'thi', 'month', 'ha', 'also', 'confirm', 'essenc', 'ensur', 'liquid', 'ampl', 'accommod', 'assumpt', 'confirm', 'progress', 'withdraw', 'warrant', 'inde', 'act', 'risk', 'ensur', 'area', 'indic', 'show', 'signific', 'improv', 'underli', 'previous', 'project', 'offici', 'privat', 'forecast', 'accord', 'basi', 'area', 'interpret', 'recent', 'gdp', 'data', 'due', 'account', 'need', 'taken', 'degre', 'volatil', 'confirm', 'view', 'becom', 'sustain', 'inform', 'activ', 'variou', 'confid', 'survey', 'indicatorbas', 'estim', 'continu', 'favour', 'support', 'assess', 'forward', 'expect', 'period', 'strengthen', 'improv', 'reflect', 'new', 'time', 'includ', 'slovenia', 'part', 'comparison', 'project', 'upward', 'number', 'indic', 'project', 'ha', 'augment', 'potenti', 'imbal', 'suspens', 'doha', 'round', 'trade', 'talk', 'respect', 'also', 'precis', 'level', 'depend', 'mainli', 'futur', 'scenario', 'moder', 'evolut', 'exert', 'inflat', 'cours', 'ecb', 'lie', 'compar', 'within', 'upper', 'part', 'previou', 'rang', 'ha', 'shift', 'slightli', 'upward', 'passthrough', 'price', 'current', 'anticip', 'addit', 'tax', 'fundament', 'stronger', 'expect', 'meet', 'respons', 'also', 'context', 'regard', 'prospect', 'inflat', 'medium', 'monetari', 'reflect', 'still', 'loan', 'doubledigit', 'rate', 'rapid', 'household', 'may', 'possibl', 'reflect', 'impact', 'previou', 'also', 'need', 'view', 'high', 'may', 'repres', 'one', 'highest', 'euro', 'gener', 'background', 'rate', 'basi', 'liquid', 'reason', 'measur', 'background', 'sum', 'upsid', 'given', 'ongo', 'dynam', 'monetari', 'outcom', 'essenti', 'consist', 'ensur', 'risk', 'assumpt', 'confirm', 'progress', 'withdraw', 'warrant', 'act', 'track', 'meet', 'even', 'exceed', 'revenu', 'windfal', 'effect', 'posit', 'influenc', 'fiscal', 'balanc', 'howev', 'countri', 'current', 'fiscal', 'outlook', 'suggest', 'shortfal', 'term', 'requir', 'structur', 'improv', 'worri', 'view', 'object', 'commit', 'agre', 'essenti', 'budget', 'execut', 'strictli', 'dure', 'remaind', 'suffici', 'ambiti', 'countri', 'take', 'advantag', 'current', 'fiscal', 'balanc', 'especi', 'countri', 'current', 'public', 'agre', 'deadlin', 'ambiti', 'achiev', 'mediumterm', 'object', 'also', 'crucial', 'enhanc', 'sustain', 'social', 'secur', 'system', 'thi', 'best', 'contribut', 'build', 'confid', 'outlook', 'growth', 'stabil', 'need', 'incent', 'work', 'strengthen', 'absorb', 'shock', 'degre', 'wage', 'new', 'opportun', 'firm', 'worker', 'promot', 'invest', 'innov', 'help', 'underpin', 'momentum', 'also', 'safeguard', 'standard', 'live', 'longer', 'run', 'dispos', 'question']",2006-08-31,Jean-Claude Trichet,2006,0.17313295908819326,0.7301507264699072,0.0967163144418995,0.07641664464629376
9,"['would', 'particularli', 'like', 'banqu', 'de', 'franc', 'report', 'outcom', 'attend', 'presid', 'almunia', 'increas', 'point', 'econom', 'prerequisit', 'area', 'also', 'today', 'increas', 'level', 'money', 'liquid', 'assumpt', 'remain', 'warrant', 'withdraw', 'confirm', 'moreov', 'sinc', 'eurostat', 'ha', 'revis', 'upward', 'growth', 'data', 'two', 'preced', 'quarter', 'therebi', 'confirm', 'signific', 'acceler', 'place', 'past', 'quarter', 'basi', 'revis', 'data', 'quarterli', 'rate', 'averag', 'last', 'four', 'quarter', 'fall', 'trend', 'employ', 'expect', 'overal', 'somewhat', 'stronger', 'basi', 'earlier', 'data', 'inform', 'activ', 'variou', 'confid', 'survey', 'indicatorbas', 'estim', 'robustli', 'possibl', 'solid', 'emerg', 'around', 'turn', 'year', 'global', 'robust', 'expect', 'period', 'strengthen', 'risk', 'outlook', 'recent', 'last', 'ha', 'potenti', 'lead', 'somewhat', 'stronger', 'demand', 'come', 'quarter', 'growth', 'lie', 'balanc', 'downsid', 'suspens', 'doha', 'round', 'trade', 'talk', 'imbal', 'august', 'although', 'detail', 'breakdown', 'avail', 'yet', 'thi', 'rel', 'sharp', 'declin', 'seem', 'combin', 'result', 'favour', 'particular', 'strong', 'ago', 'recent', 'signific', 'basi', 'current', 'quotat', 'futur', 'market', 'increas', 'toward', 'end', 'year', 'earli', 'consequ', 'expect', 'consider', 'degre', 'averag', 'like', 'remain', 'addit', 'risk', 'outlook', 'upsid', 'continu', 'includ', 'stronger', 'passthrough', 'anticip', 'addit', 'increas', 'announc', 'fundament', 'given', 'favour', 'momentum', 'past', 'quarter', 'posit', 'sign', 'substanti', 'meet', 'respons', 'particular', 'context', 'point', 'august', 'gener', 'rate', 'monetari', 'reflect', 'still', 'loan', 'doubledigit', 'rate', 'household', 'follow', 'sever', 'year', 'robust', 'year', 'point', 'upsid', 'given', 'ongo', 'dynam', 'monetari', 'outcom', 'essenti', 'consist', 'remain', 'warrant', 'withdraw', 'budget', 'prepar', 'next', 'current', 'adequ', 'headway', 'made', 'toward', 'sound', 'budget', 'target', 'gener', 'ambiti', 'previou', 'programm', 'deficit', 'within', 'agre', 'deadlin', 'via', 'adequ', 'credibl', 'clear', 'object', 'line', 'requir', 'stabil', 'ani', 'revenu', 'windfal', 'faster', 'speed', 'deficit', 'reduct', 'increas', 'surplus', 'procycl', 'polici', 'avoid', 'given', 'high', 'spend', 'ratio', 'tax', 'compar', 'mani', 'success', 'consolid', 'consolid', 'essenti', 'reduc', 'overal', 'vulner', 'impact', 'success', 'coupl', 'need', 'help', 'cushion', 'unfavour', 'econom', 'effect', 'project', 'demograph', 'chang', 'work', 'pressur', 'pension', 'health', 'care', 'system', 'may', 'widerang', 'econom', 'consequ', 'order', 'support', 'potenti', 'macroeconom', 'flexibl', 'dynam', 'safeguard', 'futur', 'standard', 'live', 'citizen', 'strengthen', 'innov', 'forc', 'drive', 'product', 'play', 'part', 'continu', 'term', 'dispos', 'question']",2006-10-05,Jean-Claude Trichet,2006,0.1840725995641733,0.7152706915815483,0.10065670885427834,0.08341589070989495
